ExamDescription,GroupName
SPBIMEU,US Biopsy and Chest or Mediastinum Scan
USBICH,US Biopsy and Chest or Mediastinum Scan
USBILUL,US Biopsy and Chest or Mediastinum Scan
USBILUR,US Biopsy and Chest or Mediastinum Scan
USAMSM2,US OB Amniocentesis Multiple
USA-AM,US OB Amniocentesis Singleton
USA-AMR,US OB Amniocentesis Singleton
USAM,US OB Amniocentesis Singleton
USAMIS,US OB Amniocentesis Singleton
USAMS,US OB Amniocentesis Singleton
USI-AMR,US OB Amniocentesis Singleton
USI-AMS,US OB Amniocentesis Singleton
USOBAFIDM2,US OB Amniotic Fluid Index Only Multiple
USOBAFIDM3,US OB Amniotic Fluid Index Only Multiple
USOBAFID,US OB Amniotic Fluid Index Only Single
USBIPE,US Biopsy and Prostate Scan
USDOOPAB,US Ophthalmic BILAT
USOPB,US Ophthalmic BILAT
USBISUG,US Biopsy and Salivary Gland Scan
USPA,US Paracentesis
USI-USP,US Partially Completed Exam
SPPRTR,US Pelvis
SPUSPE,US Pelvis
USA-PE,US Pelvis
USFOIS,US Pelvis
USHY,US Pelvis
USPE,US Pelvis
USPET,US Pelvis
USPEBFE,US Penile Doppler
SPUSPRT,US Prostate Endorectal
SPUSPRTR,US Prostate Endorectal
USA-PRT,US Prostate Endorectal
USPRMI,US Prostate Endorectal
USPRT,US Prostate Endorectal
USPRTR,US Prostate Endorectal
SPRE,US Renal
SPUSRE,US Renal
USA-RE,US Renal
USRE,US Renal
USRER,US Renal
USIUDL,US Renal and Pelvis
USPELS,US Renal and Pelvis
USDORET,US Renal Transplant Doppler
SPINSGU,US Salivary Gland
USPAG,US Salivary Gland
USREP,US Salivary Gland
USSUG,US Salivary Gland
SPUSSC,US Scrotum +-- Doppler
USSC,US Scrotum +/- Doppler
USSHLCB,US Shoulder LT
MPBIBRL5UO,US Biopsy Breast Core LT
SPBIBRCL5UC,US BIOPSY BREAST CORE LT
SPBIBRCL60C,US BIOPSY BREAST CORE LT
SPBIBRL,US Biopsy Breast Core LT
USBBIBL5UP,US Biopsy Breast Core LT
USBBIBL6OP,US Biopsy Breast Core LT
USBBIBRCL5UC,US BIOPSY BREAST CORE LT
USBBIBRCL60C,US BIOPSY BREAST CORE LT
USBBIBRCL6O,US Biopsy Breast Core LT
USBBIBRCL6OC,US Biopsy Breast Core LT
USBBIBRL5U,US Biopsy Breast Core LT
USBBIBRSLP,US Biopsy Breast Core LT
USBIBRCL5U,US Biopsy Breast Core LT
USBIBRCL5UC,US Biopsy Breast Core LT
USBIBRCL5UP,US Biopsy Breast Core LT
USBIBRCL60C,US BIOPSY BREAST CORE LT
USBIBRCL6O,US Biopsy Breast Core LT
USBIBRCL6OC,US Biopsy Breast Core LT
USBIBRCL6OCL,US BIOPSY BREAST CORE LT
USBIBRCL6OP,US Biopsy Breast Core LT
USBIBRFNAL,US Biopsy Breast Core LT
USBIBRL5UP,US Biopsy Breast Core LT
USBIBRL6OP,US Biopsy Breast Core LT
USSHBCB,US Shoulder RT
USSHRCB,US Shoulder RT
USBBRTSBWL,US Specimen LT
USBBRTSL,US Specimen LT
USBBRTSLWL,US Specimen LT
USBBRTSR,US Specimen LT
USBBRTSRWL,US Specimen LT
USBRTSL,US Specimen LT
USBRTSLWL,US Specimen LT
USBRTSR,US Specimen RT
USBRTSRWL,US Specimen RT
USSPCO,US Spine
GPTHY,US Thyroid
GPUSTHY,US Thyroid
SPTHY,US Thyroid
SPUSTHY,US Thyroid
USTHY,US Thyroid
SPTURU,US Tube Change or Check or Removal
USPECTI,US Tube Change or Check or Removal
USTUC,US Tube Change or Check or Removal
USTUR,US Tube Change or Check or Removal
USTURW,US Tube Change or Check or Removal
MPBIBRR5UO,US Biopsy Breast Core RT
SPBIBRR,US Biopsy Breast Core RT
USBBIBR5UP,US Biopsy Breast Core RT
USBBIBR6OP,US Biopsy Breast Core RT
USBBIBRCR5U,US Biopsy Breast Core RT
USBBIBRR6O,US Biopsy Breast Core RT
USBIBRCR5U,US Biopsy Breast Core RT
USBIBRCR5UC,US Biopsy Breast Core RT
USBIBRCR5UP,US Biopsy Breast Core RT
USBIBRCR6O,US Biopsy Breast Core RT
USBIBRCR6OC,US Biopsy Breast Core RT
USBIBRCR6OP,US Biopsy Breast Core RT
USBIBRFNAR,US Biopsy Breast Core RT
USBIBRR5UP,US Biopsy Breast Core RT
USBIBRR6OP,US Biopsy Breast Core RT
SPBIBRCR5UC,US BIOPSY BREAST CORE RT
SPBIBRCR60C,US BIOPSY BREAST CORE RT
USBBIBRCR5UC,US BIOPSY BREAST CORE RT
USBBIBRCR60C,US BIOPSY BREAST CORE RT
USBIBRCR60C,US BIOPSY BREAST CORE RT
USA-AS,US Aspiration
USASECB,US Aspiration
USASP,US Aspiration
USI-AS,US Aspiration
USASABC,US Aspiration Abdomen
USASABF,US Aspiration Abdomen
USASCH,US Aspiration Chest
FLBIAB,US Biopsy Abdomen
SPBISP,US Biopsy Abdomen
USA-BIAB,US Biopsy Abdomen
USBIAB,US Biopsy Abdomen
USBIPA,US Biopsy Abdomen
USBISP,US Biopsy Abdomen
USDOCAVB,US Biopsy Abdomen
USI-BIAB,US Biopsy Abdomen
SPBILYN,US Biopsy Other
USA-BI,US Biopsy Other
USBIFA,US Biopsy Other
USBILYN,US Biopsy Other
USBILYNAD,US Biopsy Other
USBIREN,US Biopsy Other
USSPCOH,US Biopsy Other
SPBIBRCB5UC,US BIOPSY BREAST CORE BILAT
SPBIBRCB60C,US BIOPSY BREAST CORE BILAT
USBA-BIBR,US Biopsy Breast Core BILAT
USBBIBB5UP,US Biopsy Breast Core BILAT
USBBIBRB5U,US Biopsy Breast Core BILAT
USBBIBRB6O,US Biopsy Breast Core BILAT
USBBIBRBBP,US Biopsy Breast Core BILAT
USBBIBRCB5UC,US BIOPSY BREAST CORE BILAT
USBBIBRCB60C,US BIOPSY BREAST CORE BILAT
USBBIBRCB6OC,US Biopsy Breast Core BILAT
USBBIBRCBB,US Biopsy Breast Core BILAT
USBI-BIBR,US Biopsy Breast Core BILAT
USBIBRB5UP,US Biopsy Breast Core BILAT
USBIBRCB5U,US Biopsy Breast Core BILAT
USBIBRCB5UC,US Biopsy Breast Core BILAT
USBIBRCB5UP,US Biopsy Breast Core BILAT
USBIBRCB60C,US BIOPSY BREAST CORE BILAT
USBIBRCB6O,US Biopsy Breast Core BILAT
USBIBRCB6OC,US Biopsy Breast Core BILAT
USBIBRCBB,US Biopsy Breast Core BILAT
USBIBRCBBP,US Biopsy Breast Core BILAT
USBBILYNAD,US Biopsy Lymph node
USBILYNCH,US Biopsy Lymph node
USPEADAB,US Drainage Abdomen
USPEFDAB,US Drainage Abdomen
USPEFDABP,US Drainage Abdomen
PEADCH,US Chest Drainage
USPEFDCH,US Chest Drainage
USPEFDCHP,US Chest Drainage 
GPBILOEL,US Biopsy Extremity Lower LT
USPEEO,US Pelvis and Endovaginal
SPINJU,US Joint Injection
SPINJUA,US Joint Injection
USINJ,US Joint Injection
USINJA,US Joint Injection
USMAS,US Mass Soft Tissue
USMASO,US Mass Soft Tissue
GPBIUPEL,US Biopsy Extremity Upper LT
USBIUPEL,US Biopsy Extremity Upper LT
USINSF,US Rad Review
GPBIUPER,US Biopsy Extremity Upper RT
USA-EX,US Biopsy Extremity Upper RT
USBIUPER,US Biopsy Extremity Upper RT
FLBILULF,US Biopsy Lung LT
SPBILULU,US Biopsy Lung LT
FLBILURF,US Biopsy Lung RT
SPBILURU,US Biopsy Lung RT
SPBIBRFNAB,US Aspiration Breast Single BILAT
USBBIBFNAA,US Aspiration Breast Single BILAT
USBBIBFNAB,US Aspiration Breast Single BILAT
USBBIBRFNAACP,US Aspiration Breast Single BILAT
USBI-BIBRFNA,US Aspiration Breast Single BILAT
USBRTSB,US Aspiration Breast Single BILAT
USBRTSBWL,US Aspiration Breast Single BILAT
USBBIBFNBP,US Breast Fine Wire Localization BILAT
USBFIWLB,US Breast Fine Wire Localization BILAT
USFIWLB,US Breast Fine Wire Localization BILAT
FLBILI,US Biopsy Liver and Abdomen Scan
USBILI,US Biopsy Liver and Abdomen Scan
USBILIO,US Biopsy Liver and Abdomen Scan
SPASNEU,US Aspiration Neck
USASNE,US Aspiration Neck
USBILYNAB,US Biopsy Lymph Node Abdomen
SPTHOR,US Thoracentesis
USBIBRFNAA,US Breast FNA
USBIBRFNAACP,US Breast FNA
USA-DOPEV,US Doppler Other
USBILYNNE,US Biopsy Lymph Node and Neck Scan
USST,US Other Soft Tissue
USBILYNPE,US Biopsy Lymph Node and Pelvic Scan
SPPRT,US Abdomen and Pelvis and Doppler
USBINE,US Biopsy Lymph Node Neck
USBINEL2,US Biopsy Lymph Node Neck
USDOPEAC,US Biopsy Lymph Node Neck
FLBIPRU,US Biopsy Prostate
GPBIPRU,US Biopsy Prostate
SPBIPR,US Biopsy Prostate
USBIPR,US Biopsy Prostate
USI-BIPR,US Biopsy Prostate
USPEFDBRL,US Breast Abscess Drain Catheter Plmt LT
USPEFDBRR,US Breast Abscess Drain Catheter Plmt RT
GPBIRELU,US Biopsy Renal LT
SPBIREL,US Biopsy Renal LT
USBIREL,US Biopsy Renal LT
GPBIRERU,US Biopsy Renal RT
SPBIRER,US Biopsy Renal RT
SPBIRERU,US Biopsy Renal RT
USBIRER,US Biopsy Renal RT
FLBIPA,US BIOPSY PANCREAS
SPINPTU,US Injection Thrombin BILAT
SPASJU,US Aspiration Joint BILAT
USASIJ,US Aspiration Joint BILAT
USASIJA,US Aspiration Joint BILAT
USASJ,US Aspiration Joint BILAT
USASJA,US Aspiration Joint BILAT
USASJS,US Aspiration Joint BILAT
USDOSUVR,US Aspiration Joint BILAT
USDOPEVC,US Biopsy Salivary Gland
SPUSBRB,US BREAST
SPUSBRL,US BREAST
SPUSBRR,US BREAST
FLBIPE,US BIOPSY PELVIS
USBIMU,US BIOPSY PELVIS
FLBITH,US Biopsy Thyroid
FLUSTHY,US Biopsy Thyroid
GPBITH,US Biopsy Thyroid
SPBITH,US Biopsy Thyroid
SPBITHAW,US Biopsy Thyroid
SPBITHP,US Biopsy Thyroid
USBITH,US Biopsy Thyroid
USBITHAW,US Biopsy Thyroid
USBITHA,US Arterial Doppler
USDOARC,US Arterial Doppler
USDOPEA,US Arterial Doppler
SPBREBU,US Breast and/or Axilla BILAT
USBA-BR,US Breast and/or Axilla BILAT
USBA-FIWL,US Breast and/or Axilla BILAT
USBBRB,US Breast and/or Axilla BILAT
USBBRBC,US Breast and/or Axilla BILAT
USBRB,US Breast and/or Axilla BILAT
USBRBC,US Breast and/or Axilla BILAT
USFIWLAL,US Breast and/or Axilla BILAT
USDOPEV,US Venous Doppler
USDOVEC,US Venous Doppler
SPBREL,US Breast and/or Axilla LT
USBBRL,US Breast and/or Axilla LT
USBRL,US Breast and/or Axilla LT
SPBRER,US Breast and/or Axilla RT
USBBRR,US Breast and/or Axilla RT
USBRR,US Breast and/or Axilla RT
USBFIWLL,US Breast Fine Wire Localization LT
USBFIWLLL2,US Breast Fine Wire Localization LT
USFIWLL,US Breast Fine Wire Localization LT
USFIWLLL2,US Breast Fine Wire Localization LT
USBIBRFNALP,US Breast Fine Needle Aspiration LT
USBIBRFNARP,US Breast Fine Needle Aspiration RT
USBFIWLR,US Breast Fine Wire Localization RT
USBFIWLRL2,US Breast Fine Wire Localization RT
USFIWLR,US Breast Fine Wire Localization RT
USFIWLRL2,US Breast Fine Wire Localization RT
SPUSDOUPEAL,US Extremity Upper Art Doppler LT
SPUSDOUPEAR,US Extremity Upper Art Doppler RT
SPPLTU,US Pleural Tap
USBIBRSLP,US Biopsy Breast Skin LT
USBIBRSRP,US Biopsy Breast Skin LT
FLBIPAG,US Salivary Gland Parotid
USA-DOCAB,US Carotid Doppler
USCATDO,US Carotid Doppler
USDOCAV,US Carotid Doppler
USDOSUVL,US Carotid Doppler
USUNP,US Unrequested Procedure
BILYNCHU,US Biopsy Lymph Node and Axilla Scan
SPBILYNAXU,US Biopsy Lymph Node and Axilla Scan
USBBILYNAX,US Biopsy Lymph Node and Axilla Scan
USBILYNAX,US Biopsy Lymph Node and Axilla Scan
GPCHU,US Chest
SPUSCH,US Chest
USCH,US Chest
SPBIMA,US Biopsy Mass
USBIMA,US BIOPSY MASS
SPFIWLP,US FINE WIRE LOCALIZATION OTHER
USFIWLP,US FINE WIRE LOCALIZATION OTHER
SPCLPA,US Breast Clip Placement
SPCLPBU,US Breast Clip Placement
SPCLPLP,US Breast Clip Placement
SPCLPLU,US Breast Clip Placement
SPCLPRL2U,US Breast Clip Placement
SPCLPRP,US Breast Clip Placement
SPCLPRU,US Breast Clip Placement
SPSCLPLU,US Breast Clip Placement
USBCLPA,US Breast Clip Placement
USBCLPL,US Breast Clip Placement
USBCLPLL2,US Breast Clip Placement
USBCLPLP,US Breast Clip Placement
USBCLPR,US Breast Clip Placement
USBCLPRL2,US Breast Clip Placement
USBCLPRP,US Breast Clip Placement
USCLPA,US Breast Clip Placement
USCLPB,US Breast Clip Placement
USCLPL,US Breast Clip Placement
USCLPLL2,US Breast Clip Placement
USCLPLP,US Breast Clip Placement
USCLPRL2,US Breast Clip Placement
USCLPRP,US Breast Clip Placement
USI-BIBR,US Incomplete Exam
USI-BIBRFNA,US Incomplete Exam
PEFDBRA,US Perc Fluid Drain Breast
PEFDBRL,US Perc Fluid Drain Breast
PEFDBRR,US Perc Fluid Drain Breast
USPEFDBRLP,US Perc Fluid Drain Breast
USPEFDBRRP,US Perc Fluid Drain Breast
FLPEFDCHU,Perc Fluid Drainage Chest
GPPEFDCHU,US Perc Fluid Drainage Chest
PEFDCHP,US Perc Fluid Drainage Chest
USPEFDCHA,US Perc Fluid Drainage Chest
USOBAFI,US OB Amniotic Fluid Index
SPPEADCHU, US Chest Drainage
FLPEFDABU,Perc Fluid Drainage Abdomen
USPEFDABA,US Perc Fluid Drainage Abdomen
USBIBRFNAB,US Biopsy Breast FNA Bilateral
USBIBRFNABP,US Biopsy Breast FNA Bilateral
USBRASLB,US Radio Seed Localiz Bi/scan
USRASLB,US Radio Seed Localiz Bi-scan
USBRASLL,US Radio Seed Localiz Lt/scan
USRASLL,US Radio Seed Localiz Lt-scan
USBRASLR,US Radio Seed Localiz Rt/scan
USRASLR,US Radio Seed Localiz Rt-scan
USBRASTSB,US Radio Seed Tissue Specimen Bi
USRASTSB,US Radio Seed Tissue Specimen Bi
USBRASTSL,US Radio Seed Tissue Specimen Lt
USRASTSL,US Radio Seed Tissue Specimen Lt
USBRASTSR,US Radio Seed Tissue Specimen Rt
USRASTSR,US Radio Seed Tissue Specimen Rt
USBRASTSBWL,US Radio Seed Tissue Specimen Bi WL
USRASTSBWL,US Radio Seed Tissue Specimen Bi WL
USBRASTSLWL,US Radio Seed Tissue Specimen Lt WL
USRASTSLWL,US Radio Seed Tissue Specimen Lt WL
USBRASTSRWL,US Radio Seed Tissue Specimen Rt WL
USRASTSRWL,US Radio Seed Tissue Specimen Rt WL
USBI-FIWL,US INCOMPLETE FINE WIRE LOCALIZATION
USI-FIWL,US INCOMPLETE FINE WIRE LOCALIZATION
USA-TH,US Chest Drainage BILAT
USI-PEAD,US Chest Drainage BILAT
USI-PED,US Chest Drainage BILAT
USPEFD,US Chest Drainage BILAT
USPEFDP,US Chest Drainage BILAT
USPLT,US Chest Drainage BILAT
USRES,US Renal
USTHOR,US Chest Drainage BILAT
USTHOS,US Chest Drainage BILAT
USPEAD,US Drainage Abscess and Abdomen Scan
USDOABA,US Abdomen With Doppler
USDOABD,US Abdomen With Doppler
USDOABV,US Abdomen With Doppler
USDOPOC,US Abdomen With Doppler
USDOREC,US Abdomen With Doppler
USDOREN,US Abdomen With Doppler
USDOLOEAB,US Extremity Lower and Art Doppler BILAT
USDOLOEAL,US Extremity Lower and Art Doppler LT
USDOLOEALG,US Extremity Lower and Art Doppler LT
USDOLOEAR,US Extremity Lower and Art Doppler RT
USDOLOEARG,US Extremity Lower and Art Doppler RT
SPBILOEL,US Extremity Lower and Biopsy LT
USBILOEL,US Extremity Lower and Biopsy LT
SPBILOER,US Extremity Lower and Biopsy RT
USBILOER,US Extremity Lower and Biopsy RT
SPASBRL,US Aspiration Breast Single LT
SPBIBRFNAL,US Aspiration Breast Single LT
USBBIBFNAL,US Aspiration Breast Single LT
USBBIBFNLP,US Aspiration Breast Single LT
USBIBFNALP,US Aspiration Breast Single LT
USDOLOEVB,US Extremity Lower and Ven Doppler BILAT
USDOPELEBV,US Extremity Lower and Ven Doppler BILAT
USDOLOEVL,US Extremity Lower and Ven Doppler LT
USDOLOEVR,US Extremity Lower and Ven Doppler RT
USEXLB,US Extremity Lower BILAT
GPEXLL,US Extremity Lower LT
GPUSEXLL,US Extremity Lower LT
SPUSEXLL,US Extremity Lower LT
USEXLL,US Extremity Lower LT
GPEXLR,US Extremity Lower RT
GPUSEXLR,US Extremity Lower RT
SPUSEXLR,US Extremity Lower RT
USEXLR,US Extremity Lower RT
USDOUPEAB,US Extremity Upper and Art Doppler BILAT
USDOUPEAVB,US Extremity Upper and Art Doppler BILAT
SPUSDOUEAL,US Extremity Upper and Art Doppler LT
USDOUPEAL,US Extremity Upper and Art Doppler LT
USDOUPEAVL,US Extremity Upper and Art Doppler LT
USDOUPEAR,US Extremity Upper and Art Doppler RT
USDOUPEAVR,US Extremity Upper and Art Doppler RT
SPBIUPEL,US Extremity Upper and Biopsy LT
SPASBRR,US Aspiration Breast Single RT
SPBIBRFNAR,US Aspiration Breast Single RT
USBBIBFNAR,US Aspiration Breast Single RT
USBBIBFNRP,US Aspiration Breast Single RT
USBIBFNARP,US Aspiration Breast Single RT
SPBIUPER,US Extremity Upper and Biopsy RT
USDOUPEVB,US Extremity Upper and Ven Doppler BILAT
USDOUPEVL,US Extremity Upper and Ven Doppler LT
USDOUPEVR,US Extremity Upper and Ven Doppler RT
USEXUB,US Extremity Upper BILAT
GPEXUL,US Extremity Upper LT
GPUSEXUL,US EXTREMITY UPPER LT
SPUSEXUL,US Extremity Upper LT
USEXUL,US Extremity Upper LT
GPEXUR,US Extremity Upper RT
GPUSEXUR,US Extremity Upper RT
SPUSEXUR,US Extremity Upper RT
USEXUR,US Extremity Upper RT
USA-BRA,US Head
USBRA,US Head
USBIPAG,US Hip BILAT
USHIB,US Hip BILAT
USHIL,US Hip BILAT
USHIP,US Hip BILAT
USHIR,US Hip BILAT
USUSIE,US Imported Digital Study
GPABM,XR Abdomen Multiview
GPABS,XR Abdomen Multiview
GPA-COP,XR Abdomen Multiview
GPCO,XR Abdomen Multiview
GPANR,XR Ankle RT
GPANRPR,XR Ankle RT
GPANSVOR,XR Ankle RT
GPPEHR,XR Pelvis and Hip RT
GPPEHB,XR Pelvis and Hips BILAT
GPA-ARL,XR Attempted Exam
GPA-ASJ,XR Attempted Exam
GPA-CO,XR Attempted Exam
GPA-LUP,XR Attempted Exam
GPA-PE,XR Attempted Exam
GPA-PEGJ,XR Attempted Exam
GPA-PEND,XR Attempted Exam
GPA-SH,XR Attempted Exam
GPA-SK,XR Attempted Exam
GPA-SMBE,XR Attempted Exam
GPA-SP,XR Attempted Exam
GPAT,XR Attempted Exam
GPA-UPE,XR Attempted Exam
GPI-GP,XR Attempted Exam
SPABI,XR Attempted Exam
GPRIB,XR Ribs BILAT
GPRIBCH,XR Ribs BILAT
GPRIL,XR Ribs LT
GPRILCH,XR Ribs LT
GPRIR,XR Ribs RT
GPRIRCH,XR Ribs RT
GPPASIJ,XR Sacroiliac Joints
GPPESIJ,XR Sacroiliac Joints
GPSAJ,XR Sacroiliac Joints
GPCOC,XR Sacrum and/or Coccyx
GPSA,XR Sacrum and/or Coccyx
GPSAC,XR Sacrum and/or Coccyx
GPSAG,XR Salivary Glands
GPSCL,XR Scaphoid LT
GPSCLO,XR Scaphoid LT
GPSCR,XR Scaphoid RT
GPSCRO,XR Scaphoid RT
GPBOA,XR Bone Age
GPSCAL,XR Scapula LT
GPSCALO,XR Scapula LT
GPSCAR,XR Scapula RT
GPSCARO,XR Scapula RT
GPSCO,XR Scoliosis Series
GPSHB,XR Shoulder BILAT
GPSHL,XR Shoulder LT
GPSHLAV,XR Shoulder LT
GPSHLPR,XR Shoulder LT
GPSHR,XR Shoulder RT
GPSHRAV,XR Shoulder RT
GPSHRPR,XR Shoulder RT
GPPAS,XR Sinuses
GPCAB,XR Calcaneus BILAT
GPCABO,XR Calcaneus BILAT
GPSKSP,XR Skeletal Survey
GPSKSR,XR Skeletal Survey
GPCE,XR Skull
GPSET,XR Skull
GPSK,XR Skull
GPSKAV,XR Skull
GPSKSMM,XR Small Bowel Series
GPSMBFTG,XR Small Bowel Series
GPSMBFTH,XR Small Bowel Series
GPNAAL,XR Soft Tissue Neck/Nasopharynx
GPNAL,XR Soft Tissue Neck/Nasopharynx
GPCES,XR Spine Cervical
GPCESAV,XR Spine Cervical
GPCESFEL,XR Spine Cervical
GPCESFELO,XR Spine Cervical
GPCESL,XR Spine Cervical
GPCESLO,XR Spine Cervical
GPCESP,XR Spine Cervical
GPEPBL,XR Spine Lumbar
GPEPBSO,XR Spine Lumbar
GPLUS,XR Spine Lumbar
GPLUSAV,XR Spine Lumbar
GPLUSFEL,XR Spine Lumbar
GPLUSFELO,XR Spine Lumbar
GPLUSP,XR Spine Lumbar
GPNEBSLF,XR Spine Lumbar
GPTHS,XR Spine Thoracic
GPTHSAV,XR Spine Thoracic
GPTHSR,XR Spine Thoracic
GPSTJB,XR Sternoclavicular Joints
GPSTJL,XR Sternoclavicular Joints
GPSTJR,XR Sternoclavicular Joints
GPCAL,XR Calcaneus LT
GPCALO,XR Calcaneus LT
GPST,XR Sternum
GPSTSJ,XR Sternum and Sternoclavicular Joints
GPTEJ,XR Temporomandibular Joints
GPTEJL,XR Temporomandibular Joints
GPTEJR,XR Temporomandibular Joints
GPTHI,XR Thoracic Inlet and Outlet
GPTIFB,XR Tibia Fibula BILAT
GPTIFL,XR Tibia Fibula LT
GPTIFLPR,XR Tibia Fibula LT
GPTIFR,XR Tibia Fibula RT
GPTIFRPR,XR Tibia Fibula RT
GPTOBL,XR Toe or Toes LT
GPTOFIL,XR Toe or Toes LT
GPTOFL,XR Toe or Toes LT
GPTOL,XR Toe or Toes LT
GPTOSL,XR Toe or Toes LT
GPTOTL,XR Toe or Toes LT
GPTOBR,XR Toe or Toes RT
GPTOFIR,XR Toe or Toes RT
GPTOFR,XR Toe or Toes RT
GPTOR,XR Toe or Toes RT
GPTOSR,XR Toe or Toes RT
GPTOTR,XR Toe or Toes RT
GPWRB,XR Wrist BILAT
GPWRSB,XR Wrist BILAT
GPCAR,XR Calcaneus RT
GPCARO,XR Calcaneus RT
GPWRL,XR Wrist LT
GPWRLPR,XR Wrist LT
GPWRSL,XR Wrist LT
GPWRR,XR Wrist RT
GPWRRPR,XR Wrist RT
GPWRSR,XR Wrist RT
GPZYA,XR Zygomatic Arches
GPZYAL,XR Zygomatic Arches
GPZYAR,XR Zygomatic Arches
GPTHL,XR Thumb LT
GPTHR,XR Thumb RT
GPTHB,XR Thumb BILAT
GPACJ,XR Acromioclavicular Joints BILAT
GPBRCHH,XR Chest
GPCAIPICCAI,XR Chest
GPCH,XR Chest
GPCHAV,XR Chest
GPCHAVP,XR Chest
GPCHDB,XR Chest
GPCHDBO,XR Chest
GPCHDL,XR Chest
GPCHDLO,XR Chest
GPCHDR,XR Chest
GPCHDRO,XR Chest
GPCHIE,XR Chest
GPCHIEL,XR Chest
GPCHIELP,XR Chest
GPCHIEP,XR Chest
GPCHLAV,XR Chest
GPCHLVO,XR Chest
GPCHN,XR Chest
GPCHP,XR Chest
GPCHPAE,XR Chest
GPCHPAEO,XR Chest
GPCHPAIO,XR Chest
GPCHPOP,XR Chest
GPCHR,XR Chest
GPPBRBI,XR Chest
GPPECTIF,XR Chest
GPPECTIU,XR Chest
GPFOCL,XR Foot and Calcaneous LT
GPFOCR,XR Foot and Calcaneous RT
GPHAWL,XR Hand and Wrist LT
GPHAWR,XR Hand and Wrist RT
GPHAWB,XR Hand and Wrist BILAT
GPLOEBAV,XR Lower Extremity Special Views
GPLOELAV,XR Lower Extremity Special Views
GPLOERAV,XR Lower Extremity Special Views
GPMAB,XR Mastoid Process
GPMAL,XR Mastoid Process
GPMAR,XR Mastoid Process
GPCHPO,XR Chest Portable
GPCHS,XR Chest Staff
GPCHTB,XR Chest TB
GPCHTBAV,XR Chest TB
GPCHTBPA,XR Chest TB
GPREO,XR Rad Review
GPINIVDP,XR Intravenous Injection
GPOPC,XR Cholangiogram Intraoperative
GPERSPSRFM,XR Interpretation Submitted Films
GPINSF,XR Interpretation Submitted Films
GPINSFWCB,XR Interpretation Submitted Films
GPINSFWCBA,XR Interpretation Submitted Films
GPCHAN,XR Chest/Abdomen Single Exposure
GPCHAPFB,XR Chest/Abdomen Single Exposure
GPTISP,XR Sella Turcica
GPFIIL,XR FINGER INDEX LT
GPFIIR,XR FINGER INDEX RT
GPFILL,XR FINGER LITTLE LT
GPFILR,XR FINGER LITTLE RT
GPFIML,XR FINGER MIDDLE LT
GPFIMR,XR FINGER MIDDLE RT
GPFIRL,XR FINGER RING LT
GPFIRR,XR FINGER RING RT
GPFOCB,XR FOOT and CALCANEOUS BILAT
GPANOR,XR Angiogram OR
GPFLGAS,XR Abdomen Single View
GPGAS,XR Abdomen Single View
GPKNPL,XR CJ Knee/Add Views LT
GPBA,XR Babygram
FLBIMAC,XR Biopsy Mass
GPBITHAW,XR Biopsy Thyroid
FLBRBI,XR Bronchoscopy and Biopsy
GPBRBI,XR Bronchoscopy and Biopsy
FLCAIS,XR Catheter Insertion
GPCAIS,XR Catheter Insertion
FLDIGIS,XR Dilation GI
GPDIGIS,XR Dilation GI
GPKNPR,XR CJ Knee/Add Views RT
FLFLGAS,XR Gastroscopy
FLGAS,XR Gastroscopy
GPGLS,XR Glucagon Study
GPTOOP,XR Tomography 1 plane
GPUNR,XR Unidentified Remains
GPCHAP,XR Chest Pediatric
GPKNPB,XR CJ Knees/Add Views BILAT
GPLELSAP,XR Legs Standing
GPLERSAP,XR Legs Standing
GPLES,XR Legs Standing
GPCHANP,XR Portable-Nursery                   
GPCHNP,XR Portable-Nursery                   
SPKSP,XR Bone Survey Pediatric
GPPEAV,XR Pelvis-Add Views
SPKAV,XR Skull-Add Views
GPUNP,XR Extremity/Add Views
GPLOEBSV,XR Lower Extremity Stress Views BIL
GPLOEBSVO,XR Lower Extremity Stress Views BIL
GPANSVOL,XR Lower Extremity Stress Views LT
GPLOELSV,XR Lower Extremity Stress Views LT
GPLOELSVO,XR Lower Extremity Stress Views LT
GPLOERSV,XR Lower Extremity Stress Views RT
GPLOERSVO,XR Lower Extremity Stress Views RT
GPPECTIA,XR Perc Chest Tube Insert 
GPCLBO,XR Clavicle BILAT
FLEPBL,XR Epidural Block Lumbar
FLEPBS,XR Epidural Block Lumbar
GPEPBS,XR Epidural Block Lumbar
FLNEBSLF,XR Block Nerve Sympath Lumbar
GPPEADABA,XR Perc Abscess or Fluid Drainage
GPPEADABC,XR Perc Abscess or Fluid Drainage
GPPEADC,XR Perc Abscess or Fluid Drainage
GPPEADCA,XR Perc Abscess or Fluid Drainage
GPPEADCHC,XR Perc Abscess or Fluid Drainage
GPPEADU,XR Perc Abscess or Fluid Drainage
GPPEFDABU,XR Perc Abscess or Fluid Drainage
GPDAL,XR Dactrocystogram LT
GPDAR,XR Dactrocystogram RT
SPCAICPICC,XR PICC Catheter Insertion
GPABSP,XR Abdomen Single View Portable
GPCLL,XR Clavicle LT
GPCLLO,XR Clavicle LT
FLA-ERCPS,XR Attempted ERCP
FLA-ERCPSS,XR Attempted ERCP
GPA-ERCPS,Attempted ERCP
GPA-ERCPSS,Attempted ERCP
FLINIVDP,XR INJECTION IV GI MOTILITY
